Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,True Label
0.08622948,0.08611766,0.0861577,0.21922657,0.08611925,0.08817517,0.08622123,0.08616505,0.08911545,0.08647249,3
0.08543031,0.085789524,0.08539842,0.08539843,0.08539842,0.08539842,0.08539843,0.08539842,0.23099054,0.085399084,8
0.09738631,0.091162555,0.08780607,0.08788615,0.08780378,0.08777686,0.08839457,0.08804236,0.18861957,0.095121704,8
0.22878747,0.0856044,0.08555025,0.085550524,0.08554009,0.085536614,0.085538566,0.085536204,0.08653696,0.08581885,0
0.086268805,0.08626893,0.08759485,0.08949544,0.08847924,0.08640997,0.21667999,0.08626766,0.08626763,0.086267404,6
0.08560443,0.08561084,0.085622124,0.08640537,0.085995294,0.08624289,0.22769247,0.08560496,0.085604474,0.0856171,6
0.085503325,0.22930977,0.085503824,0.08550333,0.08550331,0.08550335,0.08550331,0.08550331,0.08550331,0.0866632,1
0.08548103,0.08547013,0.08548683,0.08561375,0.086182564,0.08550821,0.22984639,0.08547079,0.08547015,0.08547016,6
0.086701624,0.08668235,0.08842163,0.20956588,0.08824036,0.09071117,0.08804781,0.08826619,0.0866816,0.086681366,3
0.085650906,0.08782971,0.08564587,0.08564572,0.08564561,0.085645676,0.085648075,0.08564594,0.08564564,0.22699684,1
0.21562321,0.08632786,0.086514816,0.08654884,0.08936891,0.08987497,0.086635344,0.086356714,0.08641985,0.086329475,0
0.08583631,0.08947591,0.08583628,0.085836396,0.08583628,0.08583628,0.08583697,0.08583632,0.085836716,0.22383256,9
0.08564917,0.0856493,0.08583381,0.08568381,0.08729911,0.22695754,0.08593985,0.08568799,0.0856495,0.08564988,5
0.08533691,0.08533691,0.08533785,0.08533699,0.08533695,0.08533692,0.08533691,0.23196675,0.08533691,0.08533691,7
0.08534419,0.085382126,0.085343204,0.08534333,0.08534322,0.085343204,0.085344024,0.08534419,0.08534532,0.23186724,9
0.08533982,0.08535506,0.085340716,0.08533949,0.08533957,0.08533941,0.08534001,0.08533941,0.23192708,0.08533948,8
0.08536868,0.08536868,0.08547071,0.085445,0.08536952,0.2314634,0.08540398,0.08537137,0.08536968,0.085368894,5
0.08650865,0.086384736,0.0864582,0.088121645,0.088178314,0.08730046,0.08713715,0.21657097,0.086280145,0.087059796,7
0.085366264,0.08552539,0.08536261,0.08536537,0.08536261,0.08536261,0.08536354,0.08536261,0.23155957,0.085369416,8
0.0860276,0.086032085,0.08611497,0.09086052,0.086066656,0.08618382,0.22061177,0.08604795,0.0860273,0.086027324,6
0.08549827,0.08549683,0.08550375,0.08550558,0.08643782,0.085583426,0.08550253,0.2294211,0.085496925,0.08555379,7
0.23135142,0.08537572,0.085642815,0.08537572,0.08537572,0.08537572,0.08537572,0.08537572,0.085375726,0.08537572,0
0.08608246,0.085587226,0.086810924,0.08559701,0.2279634,0.085589394,0.08559115,0.085601196,0.08558994,0.085587315,4
0.085336745,0.08533677,0.085336745,0.085336745,0.085336745,0.085336745,0.085336745,0.085336745,0.085336745,0.23196924,9
0.08538841,0.085381925,0.08557384,0.08539219,0.23125346,0.08547517,0.08538317,0.08538746,0.08538256,0.08538194,5
